Matrix,1950,1955,1960,1965,1970,1975,1980,1985,1990
Macao China,3.835236387,5.431343293,7.111561683,7.447909082,6.230174385,4.433486281,3.709529979,3.814686235,3.812595167
Aruba,6.721415536,7.041384659,7.093401692,6.827815167,5.916845423,4.872369938,4.038603848,3.740385928,3.798176657
Guadeloupe,6.426553673,6.97265625,7.684665732,7.756202805,7.428940568,7.458697765,5.448427315,4.794188353,3.95749919
Martinique,6.109366823,6.783234127,7.231864708,7.944023569,7.172995781,7.071713148,5.001046583,4.505119899,4.044860237
Bahrain,6.828652572,6.924268637,6.999692737,9.3368621,7.776487352,6.851104184,4.805582258,4.220060681,4.197337478
Suriname,6.968390805,7.564102564,8.809523808,9.010712033,9.01723815,8.793427683,6.499217612,5.481825096,4.991926928
Uzbekistan,4.873157787,5.038352449,6.50249162,8.179900534,8.554251475,7.829312303,6.962318962,6.634272585,6.659464133
Tajikistan,5.087049323,5.182242033,6.567201666,8.382992075,8.784651683,8.22895655,7.390982547,7.110787742,7.262332497
Mayotte,5.211305108,6.834913189,7.846576386,8.567208275,8.904232592,9.411137442,9.449675092,8.899719133,8.202809943
Cape Verde,5.116570018,6.250194613,7.521743799,8.27956895,9.094302217,9.012052733,8.944246783,8.491633683,8.7571636
